source_page_digital,left_candidates,right_candidates,total_candidates
133,14,10,24
134,19,18,37
135,26,17,43
136,24,24,48
137,22,17,39
138,24,23,47
139,25,25,50
140,24,23,47
141,20,21,41
142,20,33,53
143,30,16,46
144,21,18,39
145,22,17,39
146,21,26,47
147,26,25,51
148,23,21,44
149,31,30,61
150,26,30,56
151,23,27,50
152,28,24,52
153,25,26,51
154,27,29,56
155,23,26,49
156,26,26,52
157,19,23,42
158,28,25,53
159,26,26,52
160,19,26,45
161,17,16,33
162,20,19,39
163,26,23,49
164,29,22,51
165,29,27,56
166,28,22,50
167,30,25,55
168,14,18,32
169,19,16,35
170,26,22,48
171,7,17,24
172,27,28,55
173,20,22,42
174,26,22,48
175,20,15,35
176,26,23,49
177,29,28,57
