digital_page,printed_page,section,structural_label
1,,preliminaries,front_cover
2,,preliminaries,bookplate
3,,preliminaries,title_page
4,,preliminaries,title_page_verso_drawing
5,,preliminaries,dedication_start
6,,preliminaries,
7,,preliminaries,
8,,preliminaries,
9,,preliminaries,
10,,preliminaries,
11,,preliminaries,al_lector
12,,preliminaries,
13,,preliminaries,errata_and_vocabulario_abbreviations
14,,preliminaries,errata_verso
15,1,part_i,part_i_start
16,2,part_i,
17,3,part_i,
18,4,part_i,
19,5,part_i,
20,6,part_i,
21,7,part_i,
22,8,part_i,
23,9,part_i,
24,10,part_i,
25,11,part_i,
26,12,part_i,
27,13,part_i,
28,14,part_i,
29,15,part_i,
30,16,part_i,
31,17,part_i,
32,18,part_i,
33,19,part_i,
34,20,part_i,
35,21,part_i,
36,22,part_i,
37,23,part_i,
38,24,part_i,
39,25,part_i,
40,26,part_i,
41,27,part_i,
42,28,part_i,
43,29,part_i,
44,30,part_i,
45,31,part_i,
46,32,part_i,
47,33,part_i,
48,34,part_i,
49,35,part_i,
50,36,part_i,
51,37,part_ii,part_ii_start
52,38,part_ii,
53,39,part_ii,
54,40,part_ii,
55,41,part_ii,
56,42,part_ii,
57,43,part_ii,
58,44,part_ii,
59,45,part_ii,
60,46,part_ii,
61,47,part_ii,
62,48,part_ii,
63,49,part_ii,
64,50,part_ii,
65,51,part_ii,
66,52,part_ii,
67,53,part_ii,
68,54,part_ii,
69,55,part_iii,part_iii_start
70,56,part_iii,
71,57,part_iii,
72,58,part_iii,
73,59,part_iii,
74,60,part_iii,
75,61,part_iii,
76,62,part_iii,
77,63,part_iii,
78,64,part_iii,
79,65,part_iii,
80,66,part_iii,
81,67,part_iii,
82,68,part_iii,
83,69,part_iii,
84,70,part_iii,
85,71,part_iii,
86,72,part_iii,
87,73,part_iii,
88,74,part_iii,
89,75,part_iii,
90,76,part_iii,
91,77,part_iii,
92,78,part_iii,
93,79,part_iii,
94,80,part_iii,
95,81,part_iii,
96,82,part_iii,
97,83,part_iii,
98,84,part_iii,
99,85,part_iii,
100,86,part_iii,
101,87,part_iii,
102,88,part_iii,
103,89,part_iii,
104,90,part_iii,
105,91,part_iv,part_iv_start
106,92,part_iv,
107,93,part_iv,
108,94,part_iv,
109,95,part_iv,
110,96,part_iv,
111,97,part_iv,
112,98,part_iv,
113,99,part_iv,
114,100,part_iv,
115,101,part_iv,
116,102,part_iv,
117,103,part_iv,
118,104,part_iv,
119,105,part_iv,
120,106,part_iv,
121,107,part_iv,
122,108,part_iv,
123,109,part_iv,
124,110,part_iv,
125,111,part_iv,
126,112,part_iv,
127,113,part_iv,
128,114,part_iv,
129,115,part_iv,
130,116,part_iv,
131,117,part_iv,
132,118,part_iv,fin_del_arte
133,,vocabulary,vocabulary_start
134,,vocabulary,
135,,vocabulary,
136,,vocabulary,
137,,vocabulary,
138,,vocabulary,
139,,vocabulary,
140,,vocabulary,
141,,vocabulary,
142,,vocabulary,
143,,vocabulary,
144,,vocabulary,
145,,vocabulary,
146,,vocabulary,
147,,vocabulary,
148,,vocabulary,
149,,vocabulary,
150,,vocabulary,
151,,vocabulary,
152,,vocabulary,
153,,vocabulary,
154,,vocabulary,
155,,vocabulary,
156,,vocabulary,
157,,vocabulary,
158,,vocabulary,
159,,vocabulary,
160,,vocabulary,
161,,vocabulary,
162,,vocabulary,
163,,vocabulary,
164,,vocabulary,
165,,vocabulary,
166,,vocabulary,
167,,vocabulary,
168,,vocabulary,
169,,vocabulary,
170,,vocabulary,
171,,vocabulary,
172,,vocabulary,
173,,vocabulary,
174,,vocabulary,
175,,vocabulary,
176,,vocabulary,
177,,vocabulary,
178,,numerals,numerals_start
179,,numerals,
180,,numerals,fin_volume
181,,end_matter,inside_back_cover
182,,end_matter,back_cover
