source_id,digital_page,printed_page,section,coverage,review_status,transcription_file,notes
ALC1737,56,42,part_ii,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p056.json,Comparativo y superlativo
ALC1737,57,43,part_ii,full_page,unresolved,data/transcription/pages/ALC1737_p057.json,Adjetivos de cantidad; several linguistic forms queued for second collation
ALC1737,58,44,part_ii,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p058.json,§ II DEL PRONOMBRE; Hiaquis nepo versus inopo
ALC1737,59,45,part_ii,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p059.json,Demonstrative/relative pronoun paradigms
ALC1737,60,46,part_ii,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p060.json,Interrogative and indefinite pronouns
ALC1737,61,47,part_ii,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p061.json,§ III semipronombres and reflexives
ALC1737,62,48,part_ii,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p062.json,Reflexives and emphatic compounds
ALC1737,63,49,part_ii,full_page,unresolved,data/transcription/pages/ALC1737_p063.json,Numeral-pronominal compounds and beginning of possessives
ALC1737,64,50,part_ii,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p064.json,Possessives
ALC1737,65,51,part_ii,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p065.json,SUI SIBI SE; EL LA LO; relative notes
ALC1737,66,52,part_ii,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p066.json,Relative forms and semipronoun placement
ALC1737,67,53,part_ii,full_page,unresolved,data/transcription/pages/ALC1737_p067.json,Semipronoun placement; concordancias begin
ALC1737,68,54,part_ii,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p068.json,Concordancias; rule 187 continues
ALC1737,69,55,mixed,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p069.json,Upper page concludes Parte II rule 188; lower page begins Parte III
