source_id,digital_page,printed_page,section,material_role,coverage,review_status,transcription_file,uncertainty_count,notes
ALC1737,1,,preliminaries,front_cover,not_applicable_material,material_identified,,,front_cover
ALC1737,2,,preliminaries,bookplate,not_applicable_material,material_identified,,,bookplate
ALC1737,3,,preliminaries,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p003.json,0,printed text complete; manuscript additions excluded from scope
ALC1737,4,,preliminaries,title_page_verso_drawing,not_applicable_material,material_identified,,,title_page_verso_drawing
ALC1737,5,,preliminaries,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p005.json,0,Dedicatoria p.1; full printed text
ALC1737,6,,preliminaries,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p006.json,1,Dedicatoria p.2; marginal source note isolated
ALC1737,7,,preliminaries,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p007.json,0,Dedicatoria p.3; marginal attribution isolated
ALC1737,8,,preliminaries,,full_page,unresolved,data/transcription/pages/ALC1737_p008.json,2,Dedicatoria p.4; Latin citation retains two explicit uncertainties
ALC1737,9,,preliminaries,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p009.json,0,Dedicatoria p.5; full printed text
ALC1737,10,,preliminaries,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p010.json,1,Dedicatoria p.6; closing page with one explicit lexical uncertainty
ALC1737,11,,preliminaries,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p011.json,1,Al lector p.1; one linguistic-spacing uncertainty
ALC1737,12,,preliminaries,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p012.json,0,Al lector p.2; catchword PRO retained
ALC1737,13,,preliminaries,,full_page,unresolved,data/transcription/pages/ALC1737_p013.json,3,Historical errata leaf; structured corrections in data/corrections/ALC1737_p013_errata.json
ALC1737,14,,preliminaries,errata_verso,not_applicable_material,material_identified,,,blank verso with bleed-through; no substantive printed text
ALC1737,15,1,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p015.json,0,Part I / printed p.1; Prohemio and § I transcribed
ALC1737,16,2,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p016.json,2,Preterite rules; two readings queued for second collation
ALC1737,17,3,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p017.json,2,Future formation rules 6–8
ALC1737,18,4,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p018.json,3,Future formation rules 9–15
ALC1737,19,5,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p019.json,2,Future rules 16–21; explicit Mayo-attributed variant in rule 20
ALC1737,20,6,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p020.json,2,Future rules 21–26; catchword VOZ
ALC1737,21,7,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p021.json,2,Voz passiva rules 27–32
ALC1737,22,8,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p022.json,2,Rule 33 and § II abstract nouns rules 34–35
ALC1737,23,9,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p023.json,2,Abstract nouns rules 36–38
ALC1737,24,10,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p024.json,2,Nominal derivation rules 39–42
ALC1737,25,11,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p025.json,3,Instrumentals and verbals rules 43–45
ALC1737,26,12,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p026.json,2,Verbales en ME and start of adjetivos rules 46–47
ALC1737,27,13,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p027.json,2,Adjetivos rules 48–50
ALC1737,28,14,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p028.json,2,Adjetivos rules 51–52 and Verbales en BILIS rules 53–54
ALC1737,29,15,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p029.json,3,Verbales en BILIS rules 55–56 and particle la rule 57
ALC1737,30,16,part_i,,full_page,machine_corrected_unverified,data/transcription/pages/ALC1737_p030.json,3,Particle la continuation; RA/I rules 58–59; UA rule 60
ALC1737,31,17,part_i,,pending,unreviewed,,,
ALC1737,32,18,part_i,,pending,unreviewed,,,
ALC1737,33,19,part_i,,pending,unreviewed,,,
ALC1737,34,20,part_i,,pending,unreviewed,,,
ALC1737,35,21,part_i,,pending,unreviewed,,,
ALC1737,36,22,part_i,,pending,unreviewed,,,
ALC1737,37,23,part_i,,pending,unreviewed,,,
ALC1737,38,24,part_i,,pending,unreviewed,,,
ALC1737,39,25,part_i,,pending,unreviewed,,,
ALC1737,40,26,part_i,,pending,unreviewed,,,
ALC1737,41,27,part_i,,pending,unreviewed,,,
ALC1737,42,28,part_i,,pending,unreviewed,,,
ALC1737,43,29,part_i,,pending,unreviewed,,,
ALC1737,44,30,part_i,,pending,unreviewed,,,
ALC1737,45,31,part_i,,pending,unreviewed,,,
ALC1737,46,32,part_i,,pending,unreviewed,,,
ALC1737,47,33,part_i,,pending,unreviewed,,,
ALC1737,48,34,part_i,,pending,unreviewed,,,
ALC1737,49,35,part_i,,pending,unreviewed,,,
ALC1737,50,36,part_i,,pending,unreviewed,,,
ALC1737,51,37,part_ii,,pending,unreviewed,,,
ALC1737,52,38,part_ii,,pending,unreviewed,,,
ALC1737,53,39,part_ii,,pending,unreviewed,,,
ALC1737,54,40,part_ii,,pending,unreviewed,,,
ALC1737,55,41,part_ii,,pending,unreviewed,,,
ALC1737,56,42,part_ii,,pending,unreviewed,,,
ALC1737,57,43,part_ii,,pending,unreviewed,,,
ALC1737,58,44,part_ii,,pending,unreviewed,,,
ALC1737,59,45,part_ii,,pending,unreviewed,,,
ALC1737,60,46,part_ii,,pending,unreviewed,,,
ALC1737,61,47,part_ii,,pending,unreviewed,,,
ALC1737,62,48,part_ii,,pending,unreviewed,,,
ALC1737,63,49,part_ii,,pending,unreviewed,,,
ALC1737,64,50,part_ii,,pending,unreviewed,,,
ALC1737,65,51,part_ii,,pending,unreviewed,,,
ALC1737,66,52,part_ii,,pending,unreviewed,,,
ALC1737,67,53,part_ii,,pending,unreviewed,,,
ALC1737,68,54,part_ii,,pending,unreviewed,,,
ALC1737,69,55,part_iii,,pending,unreviewed,,,
ALC1737,70,56,part_iii,,pending,unreviewed,,,
ALC1737,71,57,part_iii,,pending,unreviewed,,,
ALC1737,72,58,part_iii,,pending,unreviewed,,,
ALC1737,73,59,part_iii,,pending,unreviewed,,,
ALC1737,74,60,part_iii,,pending,unreviewed,,,
ALC1737,75,61,part_iii,,pending,unreviewed,,,
ALC1737,76,62,part_iii,,pending,unreviewed,,,
ALC1737,77,63,part_iii,,pending,unreviewed,,,
ALC1737,78,64,part_iii,,pending,unreviewed,,,
ALC1737,79,65,part_iii,,pending,unreviewed,,,
ALC1737,80,66,part_iii,,pending,unreviewed,,,
ALC1737,81,67,part_iii,,pending,unreviewed,,,
ALC1737,82,68,part_iii,,pending,unreviewed,,,
ALC1737,83,69,part_iii,,pending,unreviewed,,,
ALC1737,84,70,part_iii,,pending,unreviewed,,,
ALC1737,85,71,part_iii,,pending,unreviewed,,,
